"service_effect_text","freq","severity"
"Fairmount Line","1392","4.511494252873563"
"Fitchburg Line","7773","4.446417084780651"
"Framingham/Worcester Line","7505","4.394403730846102"
"Franklin/Foxboro Line","1636","4.460880195599022"
"Greenbush Line","2597","4.524451289949942"
"Haverhill Line","4551","4.470006591957811"
"Kingston Line","445","4.514606741573034"
"Lowell Line","3166","4.348073278584965"
"Middleborough/Lakeville Line","4309","4.384776050127639"
"Needham Line","1924","4.406444906444906"
"Newburyport/Rockport Line","8570","4.463827304550758"
"Providence/Stoughton Line","5422","4.639063076355589"