"service_effect_text","cause_name","freq","severity"
"Fairmount Line","Amtrak train traffic","2","4.5"
"Fairmount Line","NA","1389","4.5111591072714186"
"Fairmount Line","mechanical issue","1","5"
"Fitchburg Line","NA","7750","4.441032258064516"
"Fitchburg Line","freight train interference","2","3.5"
"Fitchburg Line","mechanical issue","8","7.25"
"Fitchburg Line","medical emergency","1","6"
"Fitchburg Line","signal issue","1","8"
"Fitchburg Line","switch issue","4","6.5"
"Fitchburg Line","tie replacement","1","5"
"Fitchburg Line","track work","2","7"
"Fitchburg Line","train traffic","4","5"
"Framingham/Worcester Line","Amtrak train traffic","1","3"
"Framingham/Worcester Line","NA","7492","4.390950347036839"
"Framingham/Worcester Line","mechanical issue","1","5"
"Framingham/Worcester Line","medical emergency","1","4"
"Framingham/Worcester Line","police activity","6","8.333333333333334"
"Framingham/Worcester Line","signal issue","1","7"
"Framingham/Worcester Line","switch issue","1","5"
"Framingham/Worcester Line","track work","2","4.5"
"Franklin/Foxboro Line","NA","1628","4.458230958230958"
"Franklin/Foxboro Line","mechanical issue","1","4"
"Franklin/Foxboro Line","police activity","1","7"
"Franklin/Foxboro Line","signal issue","2","6"
"Franklin/Foxboro Line","train traffic","4","4.25"
"Greenbush Line","NA","2587","4.522613065326633"
"Greenbush Line","mechanical issue","3","5.666666666666667"
"Greenbush Line","police activity","2","5"
"Greenbush Line","signal issue","1","3"
"Greenbush Line","train traffic","4","5"
"Haverhill Line","Amtrak train traffic","1","5"
"Haverhill Line","NA","4544","4.470730633802817"
"Haverhill Line","heavy ridership","1","3"
"Haverhill Line","signal issue","3","4"
"Haverhill Line","track work","2","4"
"Kingston Line","NA","443","4.516930022573363"
"Kingston Line","train traffic","2","4"
"Lowell Line","NA","3157","4.346848273677542"
"Lowell Line","crossing issue","2","4"
"Lowell Line","fire department activity","1","7"
"Lowell Line","mechanical issue","1","5"
"Lowell Line","signal issue","1","8"
"Lowell Line","tie replacement","1","4"
"Lowell Line","track work","3","3.6666666666666665"
"Middleborough/Lakeville Line","NA","4293","4.377824365245749"
"Middleborough/Lakeville Line","crossing issue","1","4"
"Middleborough/Lakeville Line","mechanical issue","5","6.8"
"Middleborough/Lakeville Line","police activity","5","7.6"
"Middleborough/Lakeville Line","signal issue","1","4"
"Middleborough/Lakeville Line","train traffic","4","5"
"Needham Line","NA","1920","4.405208333333333"
"Needham Line","mechanical issue","2","5"
"Needham Line","signal issue","1","4"
"Needham Line","train traffic","1","6"
"Newburyport/Rockport Line","Amtrak train traffic","1","4"
"Newburyport/Rockport Line","NA","8546","4.461970512520478"
"Newburyport/Rockport Line","crossing issue","2","4"
"Newburyport/Rockport Line","maintenance","1","5"
"Newburyport/Rockport Line","mechanical issue","7","5.285714285714286"
"Newburyport/Rockport Line","police activity","5","6.8"
"Newburyport/Rockport Line","signal issue","4","5.25"
"Newburyport/Rockport Line","track work","2","3"
"Newburyport/Rockport Line","train traffic","2","4"
"Providence/Stoughton Line","Amtrak train traffic","4","3"
"Providence/Stoughton Line","NA","5407","4.638061771777326"
"Providence/Stoughton Line","mechanical issue","2","8"
"Providence/Stoughton Line","police activity","2","5"
"Providence/Stoughton Line","signal issue","2","5.5"
"Providence/Stoughton Line","switch issue","4","5.5"
"Providence/Stoughton Line","train traffic","1","4"